"name";"description";"stewardship";"prj_id";"Limit";"ProcessingId";"StartedAt";"DimensionId";"ResultId";"ResultCount";"ResultName";"TotalCount";"AggregationId";"Overall_Quality";"Sum";"Count";"Average";"Score";"DQ_EXP"
"ONE DEMO";;;"24e8f2de-0000-7000-0000-0000000db0cd";3;"24e8f2de-0000-7000-0000-0000000db56d";2024-02-21 09:53:37;"3162ad0c-0000-7000-0000-000000ba2906";"3162ad0c-0000-7000-0000-000000812880";10;"Passed";290;"24e8f2de-0000-7000-0000-0000000db0cd";3;3;1;3;;
"MEMBERS_DATA_DEMO";;;"24e8f2de-0000-7000-0000-000000181a4a";3;"24e8f2de-0000-7000-0000-000000181a74";2024-09-02 10:18:27;"3162ad0c-0000-7000-0000-000000ba2906";"3162ad0c-0000-7000-0000-000000812880";23;"Passed";122;"24e8f2de-0000-7000-0000-000000181a4a";18;18;1;18;;
"EmailNotificationMP_Test";"[{""type"":""paragraph"",""children"":[{""text"":""This monitoring project is created for testing email notification.""}]}]";"16d3a735-0000-7000-0000-000000088d0b";"24e8f2de-0000-7000-0000-000000182cd4";3;"24e8f2de-0000-7000-0000-000000183a24";2024-09-17 08:43:26;"3162ad0c-0000-7000-0000-000000ba2906";"3162ad0c-0000-7000-0000-000000812880";117;"Passed";143;"24e8f2de-0000-7000-0000-000000182cd4";81;81;1;81;;
"test";;;"24e8f2de-0000-7000-0000-000000184667";3;"24e8f2de-0000-7000-0000-000000184736";2024-09-23 07:22:20;"3162ad0c-0000-7000-0000-000000ba2906";"3162ad0c-0000-7000-0000-000000812880";0;"Passed";72;"24e8f2de-0000-7000-0000-000000184667";0;0;2;0;;
"test";;;"24e8f2de-0000-7000-0000-000000184667";3;"24e8f2de-0000-7000-0000-000000184778";2024-09-23 07:22:48;"3162ad0c-0000-7000-0000-000000ba2906";"3162ad0c-0000-7000-0000-000000812880";0;"Passed";72;"24e8f2de-0000-7000-0000-000000184667";0;0;2;0;;
"Financial Securities Failures";;"16d3a735-0000-7000-0000-0000000e0054";"36ed325c-0000-7000-0000-000000551979";3;"24e8f2de-0000-7000-0000-0000000da743";2024-02-21 05:56:50;"3162ad0c-0000-7000-0000-000000ba2906";"3162ad0c-0000-7000-0000-000000812880";15475143;"Passed";22814501;"36ed325c-0000-7000-0000-000000551979";67;201;3;67;;
"Financial Securities Failures";;"16d3a735-0000-7000-0000-0000000e0054";"36ed325c-0000-7000-0000-000000551979";3;"24e8f2de-0000-7000-0000-000000180401";2024-08-27 06:38:40;"3162ad0c-0000-7000-0000-000000ba2906";"3162ad0c-0000-7000-0000-000000812880";15479101;"Passed";22814501;"36ed325c-0000-7000-0000-000000551979";67;201;3;67;;
"Financial Securities Failures";;"16d3a735-0000-7000-0000-0000000e0054";"36ed325c-0000-7000-0000-000000551979";3;"24e8f2de-0000-7000-0000-000000182424";2024-09-10 04:56:13;"3162ad0c-0000-7000-0000-000000ba2906";"3162ad0c-0000-7000-0000-000000812880";15479101;"Passed";22814501;"36ed325c-0000-7000-0000-000000551979";67;201;3;67;;
"Customer DQ report";"[{""type"":""paragraph"",""children"":[{""text"":""Validate and monitor data quality for customer and entities in the PostgreSQL DWH. Two main entities subject to the DQ checks are customer party and mainframe export.""}]}]";"15bbce34-0000-7000-0000-00000047025b";"5f463b19-0000-7000-0000-000000053312";3;"36ed325c-0000-7000-0000-0000005541d7";2023-03-25 01:31:53;"3162ad0c-0000-7000-0000-000000ba2906";"3162ad0c-0000-7000-0000-000000812880";234055;"Passed";1009568;"5f463b19-0000-7000-0000-000000053312";23;42;2;21;;
"Customer DQ report";"[{""type"":""paragraph"",""children"":[{""text"":""Validate and monitor data quality for customer and entities in the PostgreSQL DWH. Two main entities subject to the DQ checks are customer party and mainframe export.""}]}]";"15bbce34-0000-7000-0000-00000047025b";"5f463b19-0000-7000-0000-000000053312";3;"24e8f2de-0000-7000-0000-000000141241";2024-05-02 11:18:37;"3162ad0c-0000-7000-0000-000000ba2906";"3162ad0c-0000-7000-0000-000000812880";201757;"Passed";1009568;"5f463b19-0000-7000-0000-000000053312";19;42;2;21;;
"E-mail campaigns performance";"[{""type"":""paragraph"",""children"":[{""text"":""Monitor achievement of KPI goals for our global e-mail marketing campaigns across all markets and customer segments.""}]}]";"15bbce34-0000-7000-0000-00000047025b";"5f463b19-0000-7000-0000-00000005390e";3;"36ed325c-0000-7000-0000-0000001a021e";2022-12-19 08:50:25;"3162ad0c-0000-7000-0000-000000ba2906";"3162ad0c-0000-7000-0000-000000812880";6;"Passed";6;"5f463b19-0000-7000-0000-00000005390e";100;200;2;100;;
"E-mail campaigns performance";"[{""type"":""paragraph"",""children"":[{""text"":""Monitor achievement of KPI goals for our global e-mail marketing campaigns across all markets and customer segments.""}]}]";"15bbce34-0000-7000-0000-00000047025b";"5f463b19-0000-7000-0000-00000005390e";3;"24e8f2de-0000-7000-0000-0000000bf71c";2024-01-17 07:30:39;"3162ad0c-0000-7000-0000-000000ba2906";"3162ad0c-0000-7000-0000-000000812880";6;"Passed";6;"5f463b19-0000-7000-0000-00000005390e";100;200;2;100;;
